TId	Apple	Orange	Lemon	Ginger	Water	Milk	Chips	Diapers	iPhone	Case
101	1	0	1	1	1	0	0	1	1	1	
102	0	1	0	1	0	1	0	1	1	1	
103	1	1	0	0	0	1	1	0	1	0	
104	1	0	0	1	0	0	0	0	1	1	
105	1	1	1	0	1	1	0	1	0	0	
106	0	1	1	0	0	1	1	1	1	1	
107	0	1	1	0	1	1	1	1	0	0	
108	0	1	1	1	0	0	1	1	1	1	
109	1	1	0	1	0	1	0	1	1	1	
110	0	0	0	0	1	1	1	1	1	1	
111	1	1	0	1	1	0	1	1	1	1	
112	0	0	0	1	0	0	0	1	1	1	
113	0	1	0	0	1	1	0	1	0	0	
114	1	1	0	0	1	1	1	1	0	0	
115	1	1	0	1	0	0	1	0	0	1	
116	0	0	1	1	1	1	0	1	0	0	
117	1	0	1	0	0	1	1	1	1	1	
118	0	1	0	0	1	1	0	1	1	1	
119	1	0	0	1	1	1	0	1	0	0	
120	1	0	0	0	1	1	0	1	0	1	



