TId	Apple	Orange	Lemon	Ginger	Water	Milk	Chips	Diapers	iPhone	Case
101	1	0	0	1	1	1	1	1	0	1	
102	0	0	1	1	1	0	0	0	0	0	
103	0	0	1	0	1	1	0	1	0	0	
104	0	0	1	0	1	1	1	1	1	1	
105	1	1	0	0	0	0	1	1	0	0	
106	0	0	1	0	0	1	1	0	0	1	
107	1	1	0	0	1	0	1	0	1	1	
108	0	0	1	1	1	0	1	1	0	1	
109	1	1	0	0	0	1	1	0	0	0	
110	0	1	1	0	0	0	1	1	1	1	
111	1	1	1	1	1	1	0	1	1	1	
112	0	0	1	1	1	0	1	1	1	1	
113	1	1	0	0	1	0	1	0	1	0	
114	0	0	0	0	0	0	1	1	0	1	
115	0	1	0	1	1	1	1	1	0	1	
116	0	1	1	1	0	1	1	0	1	0	
117	0	1	1	0	0	0	1	1	1	0	
118	0	1	0	0	1	1	1	1	0	0	
119	0	0	1	1	0	1	1	0	0	0	
120	1	1	0	1	0	1	1	1	0	1


